"FullName","Name","Length","CreationTime","LastWriteTime","LastAccessTime","Attributes","Owner"
"D:\DoganHub\DBA\.idea",".idea",,"7/2/2025 7:41:52 PM","7/2/2025 10:32:24 PM","7/9/2025 11:55:30 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.qodo",".qodo",,"7/2/2025 12:42:03 AM","7/2/2025 12:42:03 AM","7/9/2025 11:55:30 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.venv",".venv",,"7/5/2025 6:22:24 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv1",".venv1",,"7/2/2025 9:15:18 PM","7/2/2025 9:15:21 PM","7/9/2025 11:55:44 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.vscode",".vscode",,"6/29/2025 9:45:30 PM","7/4/2025 9:40:48 AM","7/9/2025 11:55:45 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.zencoder",".zencoder",,"7/2/2025 1:15:20 AM","7/2/2025 1:15:22 AM","7/9/2025 11:55:45 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\Apps","Apps",,"6/27/2025 1:20:11 PM","7/5/2025 11:34:33 PM","7/9/2025 11:55:45 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\Code","Code",,"6/28/2025 6:32:16 PM","6/28/2025 6:32:16 PM","7/9/2025 11:55:45 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\CodeGPT-2.4.0-stable","CodeGPT-2.4.0-stable",,"6/29/2025 6:59:52 PM","6/29/2025 6:59:52 PM","7/9/2025 11:55:45 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\D.Insights","D.Insights",,"7/3/2025 1:02:48 PM","7/3/2025 8:23:55 PM","7/9/2025 11:55:45 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\Dinsight","Dinsight",,"6/29/2025 6:41:04 PM","7/3/2025 10:34:11 PM","7/9/2025 11:38:45 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\Exports","Exports",,"6/18/2025 12:10:55 PM","6/18/2025 1:25:37 PM","7/9/2025 11:56:14 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\Invoices for 2023 year_output","Invoices for 2023 year_output",,"7/5/2025 9:55:22 PM","7/5/2025 9:55:25 PM","7/9/2025 11:56:14 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\Omer_Knowledge_Hub","Omer_Knowledge_Hub",,"7/2/2025 3:26:54 PM","7/2/2025 3:26:54 PM","7/9/2025 11:56:14 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\SLR","SLR",,"6/28/2025 3:31:57 PM","7/9/2025 10:44:22 PM","7/9/2025 11:47:33 PM","Directory","AHMETDOGAN\asmel"
